symbol,name,entry_price,stop_price,target_price,stop_pct,target_pct,last_price,drift_pct,stale,rsi,adx,atr
STNG,Scorpio Tankers,80.96,76.90455317229925,89.07089365540149,-0.050091981567449984,0.10018396313489997,81.0,0.000494071146245112,False,46.48302097108779,25.131398803801172,2.7036312184671667
BKSY,BlackSky Technology,23.17,20.853178730674006,27.803642538651992,-0.09999228611678879,0.19998457223357757,23.19,0.0008631851532152623,False,49.86903220904485,21.448282200870413,1.5445475128839965
OHI,Omega Healthcare Investors,46.33,45.03087511385846,48.92824977228308,-0.02804068392276149,0.05608136784552298,46.25,-0.0017267429311460525,False,43.27117202151929,21.079587946043457,0.8660832574276951
TX,Ternium,55.53,53.43618620786548,59.71762758426904,-0.03770599301520838,0.07541198603041677,55.36,-0.0030614082477939952,False,48.668193227890505,30.349162521716924,1.395875861423012
TARS,Tarsus Pharmaceuticals,75.96,71.22138168892185,85.43723662215629,-0.062383074132150385,0.12476614826430099,75.69,-0.0035545023696681444,False,49.964865446244175,28.95327497154877,3.159078874052098
NVMI,Nova,366.8,342.6938378626785,415.01232427464305,-0.06572018030894633,0.13144036061789266,368.23,0.003898582333696776,False,49.14186124019963,23.206196079756314,16.070774758214352
HPQ,HP,31.14,28.710219794286687,35.99956041142663,-0.07802762381866779,0.15605524763733558,31.3,0.005138086062941527,False,47.87381222418522,26.00340245769618,1.6198534704755414
CTRI,Centuri Holdings,20.39,19.16257017885986,22.844859642280287,-0.06019763713291526,0.12039527426583052,20.51,0.005885237861696924,False,44.80217224719593,37.870544037280794,0.8182865474267622
PRU,Prudential Financial,118.75,115.1898518710037,125.87029625799262,-0.029980194770495183,0.05996038954099059,119.5,0.006315789473684275,False,48.51186292593323,21.67688436203087,2.3734320859975395
VOD,Vodafone,16.49,16.00121101330295,17.467577973394096,-0.029641539520742777,0.059283079041485554,16.6,0.006670709520921969,False,47.19836663953044,22.72444789861859,0.3258593244646992
YETI,YETI,41.99,39.67065335101764,46.62869329796473,-0.05523569061639344,0.1104713812327871,42.28,0.006906406287211286,False,47.01031314083123,27.53720935313326,1.5462310993215749
BMO,Bank of Montreal,171.06,166.18793250826766,180.80413498346465,-0.028481629204561765,0.05696325840912331,172.3,0.007248918508125923,False,42.69765712758836,24.96200741524305,3.248044994488218
MKSI,MKS Inc,257.98,238.86882604496392,296.2023479100722,-0.07408006029551162,0.14816012059102324,260.0,0.007830064346073362,False,46.402092413739936,25.54551807654217,12.740782636690737
ROIV,Roivant Sciences,36.13,33.95153926877964,40.48692146244072,-0.0602950659070125,0.12059013181402478,35.8,-0.009133683919180902,False,42.228886813690224,20.068345575227983,1.4523071541469066
ATEN,A10 Networks,25.99,24.48505000830663,28.999899983386737,-0.05790496312787108,0.11580992625574216,25.73,-0.01000384763370521,False,46.24739269688043,23.526450644537512,1.0032999944622458
EWBC,East West Bank,125.62,121.9651488442613,132.92970231147743,-0.029094500523314082,0.058189001046628164,127.23,0.012816430504696719,False,40.56142679102942,21.17076085237667,2.436567437159142
BNS,Bank Of Nova Scotia,92.23,89.79734072908289,97.09531854183423,-0.026376008575486387,0.052752017150972774,93.48,0.013553073837146323,False,49.8632494541058,23.070061604377777,1.6217728472780748
SNX,TD SYNNEX,259.47,242.42364214104282,293.56271571791444,-0.06569683531412962,0.13139367062825924,263.0,0.013604655644197772,False,47.67300209896044,20.03348406027227,11.36423857263813
TLN,Talen Energy,300.01,279.53107923749025,340.9678415250195,-0.06826079384857087,0.13652158769714173,304.43,0.01473284223859217,False,44.97227710252724,23.051040989619366,13.65261384167316
HST,Host Hotels & Resorts,22.21,21.561642491634316,23.506715016731366,-0.029192143555411332,0.05838428711082244,22.612,0.01809995497523631,True,46.0542564358711,21.962818121889757,0.4322383389104555
DVA,DaVita,174.67,166.02718912543975,191.95562174912047,-0.04948079735821975,0.0989615947164395,178.47,0.021755310013167772,True,37.3837175108391,20.9244643504693,5.761873916373496
DKS,Dicks Sporting Goods,133.25,123.54845625508706,152.65308748982588,-0.07280708251341794,0.14561416502683588,136.3,0.02288930581613524,True,39.73351121469385,43.372378869795845,6.467695829941958
GNTX,Gentex,22.04,21.33239692073199,23.45520615853602,-0.032105402870599264,0.06421080574119875,22.58,0.024500907441016295,True,36.527067261569265,23.537934320328777,0.47173538617867267
